   FILES  FOLDER
     366  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/Colab/WaveGAN/AudioSamples
     384  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/Conferences/2017_DesignCon/_DesignCon2017_Booth/_2017_GeometryWizard/Microstrip/uStripSweep100_800.phys.html.files/Results
     448  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/Conferences/2017_DesignCon/_DesignCon2017_Booth/_2017_GeometryWizard/Microstrip/uStripSweep100_800.phys.html.files/statics
     291  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/Conferences/2017_DesignCon/_DesignCon2017_Booth/paper/Beatty_sCSV2sparam/DesignCon2/2x3x2x2x2x2_Factorial
     299  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/Conferences/2017_DesignCon/_DesignCon2017_Booth/paper/Beatty_sCSV2sparam/DesignCon3/2x3x2x2x2x2_Factorial
     914  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/Conferences/_Archive/_Papers/Active/Paper_EPEP_2003/sims/HSS-IB_3a_Correlation/RC_Study_2
    1440  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/Conferences/_Archive/_Papers/Active/Paper_EPEP_2003/sims/HSS-IB_3a_Correlation/lRC_Sweep
    1215  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/Conferences/_Archive/_Papers/Transaction_EPEP2002/Daniel/SBD25_7a-0227m_Precomp_Behavioral_Bidi
    7534  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/EVE/logs/Chatlogs
    8485  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/EVE/logs/Gamelogs
   57752  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Advances_In_Deep_Learning/_2025/homeworks/ADL-hw4/data/train
    2816  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Advances_In_Deep_Learning/_2025/homeworks/ADL-hw4/data/valid
   21322  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Deep_Learning/hw1/homework1/data/train
    9314  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Deep_Learning/hw1/homework1/data/valid
   21224  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Deep_Learning/hw2/homework2/data/train
    9162  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Deep_Learning/hw2/homework2/data/valid
    5235  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Deep_Learning/hw3/Pytorch-UNet-master/data/imgs
    5235  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Deep_Learning/hw3/Pytorch-UNet-master/data/masks
   22409  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Deep_Learning/hw3/homework3/data/train
    9186  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Deep_Learning/hw3/homework3/data/valid
   30746  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Deep_Learning/hw3/homework3/dense_data/train
   15218  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Deep_Learning/hw3/homework3/dense_data/valid
     521  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Deep_Learning/hw3/homework3/log/train
     461  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Deep_Learning/hw3/homework3/log/valid
   30000  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Deep_Learning/hw4/homework4/dense_data/train
   15300  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Deep_Learning/hw4/homework4/dense_data/valid
     976  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Deep_Learning/intro/dogs_and_cats/dogs_and_cats/test/cats
     985  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Deep_Learning/intro/dogs_and_cats/dogs_and_cats/test/dogs
    9764  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Deep_Learning/intro/dogs_and_cats/dogs_and_cats/train/cats
    9844  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Deep_Learning/intro/dogs_and_cats/dogs_and_cats/train/dogs
     980  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Deep_Learning/intro/dogs_and_cats/dogs_and_cats/valid/cats
     981  /Users/daniel/Library/CloudStorage/OneDrive-Personal/Documents/UT/z_Deep_Learning/intro/dogs_and_cats/dogs_and_cats/valid/dogs
